assetId,assetName,assetDesc,Tags,Category
38,Building Microservices with ASP.NET Core and Kubernetes,"A guide to building microservices with ASP.NET Core and Kubernetes, covering topics such as containerization, service discovery, and load balancing. It includes examples and best practices for building scalable and resilient microservices.",Cloud,Webinar
39,Cloud-Native Python,"A guide to building cloud-native applications with Python, covering topics such as containerization, orchestration, and automation. It includes examples and best practices for building scalable and resilient cloud-native applications.",Cloud,Documentation
40,Cloud-Based Virtualization: A Comprehensive Guide,"A comprehensive guide to cloud-based virtualization, covering topics such as virtual machines, containers, and hypervisors. It includes examples and best practices for deploying and managing virtualized environments in the cloud.",ML,Reference
41,Migrating to the Cloud: A Guide for Business Leaders,"This guide helps business leaders to understand the benefits and challenges of migrating to the cloud. It provides practical advice on how to plan, execute, and manage a successful cloud migration strategy.",ML,Guide
42,Serverless Computing in AWS,"This book explores the concept of serverless computing and how it can be used in AWS. It covers the basics of AWS Lambda, API Gateway, and other related services. It also provides examples of how to build serverless applications using AWS.",Security,Documentation
43,Cloud Computing for Enterprises: A Practical Guide,"This guide is aimed at helping enterprises understand cloud computing and how to adopt it in their operations. It covers cloud deployment models, cloud service models, and cloud migration strategies. It also provides best practices for cloud security and compliance.",AI,Tutorial
44,Cloud-Native Continuous Integration and Delivery,"This book provides a practical guide on how to build, test, and deploy cloud-native applications using continuous integration and delivery (CI/CD) practices. It covers tools such as Jenkins, Git, and Docker, and also provides examples of CI/CD pipelines.",Big Data,Guide
45,Designing Cloud-Native Applications,"This book explores the principles and best practices for designing cloud-native applications. It covers topics such as microservices architecture, containerization, and cloud deployment. It also provides case studies of companies that have successfully implemented cloud-native applications.",Data Science,Guide
46,Cloud Computing and Big Data: Technologies and Applications,"This book covers the intersection of cloud computing and big data. It explores the different technologies and platforms used in big data analytics in the cloud, such as Hadoop and Spark. It also provides examples of real-world applications of cloud-based big data analytics.",Data Science,Tutorial
47,Cloud Computing for Business,"This guide provides an introduction to cloud computing for business professionals. It covers cloud deployment models, cloud service models, and cloud migration strategies. It also provides examples of how cloud computing can benefit businesses of all sizes.",Big Data,Documentation
48,Building Microservices with ASP.NET Core and Kubernetes,"This book provides a practical guide on how to build microservices using ASP.NET Core and Kubernetes. It covers topics such as containerization, service discovery, and load balancing. It also provides examples of how to deploy and manage microservices in Kubernetes.",Security,Tutorial
49,Cloud-Native Python,"This book explores the use of Python in cloud-native application development. It covers topics such as microservices architecture, containerization, and cloud deployment. It also provides examples of how to build cloud-native applications using Python and related tools.",Mobile Development,Webinar
50,Cloud-Based Virtualization: A Comprehensive Guide,"This guide provides a comprehensive overview of cloud-based virtualization. It covers topics such as virtualization technologies, cloud deployment models, and virtualization security. It also provides examples of how to deploy and manage virtualized infrastructure in the cloud.",Mobile Development,Guide
51,Building Microservices on AWS,"Learn how to design and deploy microservices-based applications on the AWS cloud platform using various AWS services such as EC2, ECS, Lambda, and more.",Security,Course
52,Azure Machine Learning Cookbook,"Discover advanced machine learning techniques and implement them using Azure Machine Learning Studio, including regression, classification, and more.",Mobile Development,Course
53,GCP for Data Scientists,"Learn how to use Google Cloud Platform (GCP) to implement and deploy machine learning models, perform data analysis, and create data pipelines.",ML,Reference
54,Serverless Applications with AWS Lambda,Explore the benefits of serverless computing and how to build and deploy serverless applications on AWS Lambda using various programming languages.,Data Science,Tutorial
55,Securing Cloud Native Applications,Learn how to design and implement security strategies to protect cloud-native applications and infrastructure from various cyber threats and attacks.,Security,Tutorial
56,AWS Certified Advanced Networking Official Study Guide,Prepare for the AWS Certified Advanced Networking exam and learn about advanced networking concepts and services on the AWS platform.,Data Science,Reference
57,Practical Cloud Security,"Learn how to implement and manage security controls and strategies for cloud-based environments, including identity and access management, encryption, and more.",Big Data,Reference
58,Google Cloud Platform for Developers,"Learn how to use Google Cloud Platform (GCP) to build scalable and reliable applications using various GCP services, including Compute Engine, Kubernetes Engine, and more.",Cloud,Reference
59,DevOps with Azure,"Learn how to implement DevOps practices and tools using Azure DevOps, including continuous integration and delivery (CI/CD), automation, and more.",ML,Guide
60,AWS Certified Solutions Architect Associate Exam Prep,"Prepare for the AWS Certified Solutions Architect Associate exam and learn about various AWS services, including EC2, S3, RDS, and more.",Web Development,Webinar
61,Hands-On Kubernetes on Azure,"A practical guide for deploying and managing Kubernetes on the Azure cloud platform. Covers topics such as Kubernetes architecture, cluster setup, and scaling.",ML,Tutorial
62,GCP for Beginners,"A beginner's guide to the Google Cloud Platform, covering topics such as infrastructure, storage, and compute.",Security,Guide
63,Cloud Security and Privacy,"An in-depth guide to cloud security and privacy, covering topics such as data protection, access control, and threat detection.",Web Development,Reference
64,AWS Certified Developer Associate Exam Prep,"A comprehensive study guide for the AWS Certified Developer Associate exam, covering topics such as AWS services, deployment, and security.",Cloud,Tutorial
65,Azure Data Factory Cookbook,"A practical guide to using Azure Data Factory, covering topics such as data integration, ETL, and data transformation.",Security,Guide
66,Docker on AWS,"A guide to running Docker containers on AWS, covering topics such as containerization, deployment, and orchestration.",AI,Webinar
67,Building and Managing Serverless Applications on AWS,"A practical guide to building and deploying serverless applications on AWS, covering topics such as Lambda, API Gateway, and DynamoDB.",Data Science,Guide
68,Mastering Azure Analytics,"A comprehensive guide to Azure Analytics, covering topics such as data warehousing, data lakes, and data visualization.",Cloud,Webinar
69,Architecting for the Cloud: AWS Best Practices,"A guide to designing and implementing cloud solutions on AWS, covering topics such as security, scalability, and fault tolerance.",Data Science,Reference
70,Practical Google Cloud Platform,"A hands-on guide to the Google Cloud Platform, covering topics such as compute, storage, and networking.",Mobile Development,Webinar
71,Microsoft Azure Infrastructure Services for Architects,A comprehensive guide to designing and managing Azure infrastructure services for architects.,AI,Tutorial
72,Big Data Analytics with Azure,An in-depth exploration of big data analytics using Azure's services and tools.,AI,Reference
73,Google Cloud Platform Cookbook,A practical cookbook for developers to build and deploy applications on the Google Cloud Platform.,Cloud,Tutorial
74,AWS Certified SysOps Administrator Official Study Guide,A guide for individuals preparing for the AWS Certified SysOps Administrator certification exam.,AI,Course
75,Deploying and Managing Applications on Azure,"A guide to deploying and managing applications on Azure, covering topics such as deployment, scaling, and monitoring.",Web Development,Documentation
76,Azure Data Engineering Cookbook,A comprehensive guide to building data engineering solutions using Azure's services and tools.,AI,Webinar
77,GCP for Business Leaders,A beginner's guide to understanding Google Cloud Platform and how it can benefit businesses.,Data Science,Documentation
78,AWS Networking Cookbook,"A guide to networking in AWS, covering topics such as VPCs, security groups, and network monitoring.",Data Science,Documentation
79,Azure DevOps for Web Developers,A practical guide for web developers to use Azure DevOps for continuous integration and delivery.,Security,Webinar
80,Cloud Computing and Security,An overview of cloud computing security risks and best practices to mitigate them.,Data Science,Reference
81,Google Cloud Platform for Architects,This book is a comprehensive guide for architects and developers to design and implement solutions using Google Cloud Platform.,Security,Course
82,AWS Certified Cloud Practitioner Exam Prep,This book covers all the topics required to pass the AWS Certified Cloud Practitioner certification exam.,Data Science,Tutorial
83,Building Applications on Azure,"This book teaches how to build cloud-native applications on Azure using different services such as App Service, Functions, and Cosmos DB.",Web Development,Guide
84,GCP for DevOps,"This book provides an introduction to Google Cloud Platform for DevOps engineers and covers topics like deployment, automation, and monitoring.",Big Data,Tutorial
85,AWS Certified Security Specialty Exam Prep,This book provides in-depth coverage of security topics required to pass the AWS Certified Security Specialty certification exam.,Security,Guide
86,Azure Machine Learning Studio Cookbook,"This book covers the Azure Machine Learning Studio and teaches how to build, train, and deploy machine learning models using the Azure platform.",ML,Tutorial
87,Deploying Applications with Docker and AWS,This book explains how to deploy and manage applications using Docker on AWS.,Mobile Development,Webinar
88,Mastering Google Cloud Platform,This book covers advanced topics and best practices for designing and implementing solutions on Google Cloud Platform.,Cloud,Course
89,AWS Certified Solutions Architect Professional Exam Prep,This book is a comprehensive guide for the AWS Certified Solutions Architect Professional certification exam.,Data Science,Guide
90,Implementing DevOps on Azure,This book teaches how to implement DevOps practices on Azure using tools like Azure DevOps and Jenkins.,AI,Reference
91,Cloud Computing and Virtualization,"This book explains how virtualization is used in cloud computing, the advantages of virtualization, and its various types.",Big Data,Tutorial
92,GCP for Data Analysts,"This book provides data analysts with a comprehensive guide to using Google Cloud Platform for data analysis, including data storage, processing, and visualization.",Data Science,Tutorial
93,Mastering AWS Security,"This book covers security aspects of AWS, including Identity and Access Management, Security Groups, and Network Security.",AI,Guide
94,Microsoft Azure Cosmos DB Revealed,"This book provides an overview of Azure Cosmos DB, including data modeling, partitioning, and querying data using APIs.",Mobile Development,Reference
95,Google Cloud Platform for Machine Learning,"This book covers the machine learning capabilities of Google Cloud Platform, including AutoML, TensorFlow, and machine learning APIs.",Mobile Development,Reference
96,AWS Lambda in Action,"This book provides a comprehensive guide to using AWS Lambda for building serverless applications, including configuration, deployment, and testing.",Mobile Development,Webinar
97,Azure DevOps for Architects,"This book covers DevOps processes, practices, and tools in the context of Microsoft Azure, including Continuous Integration, Delivery, and Deployment.",AI,Webinar
98,Cloud Computing and IoT,"This book explores the role of cloud computing in the Internet of Things (IoT), including how cloud services can support IoT applications.",Data Science,Webinar
99,GCP for Data Engineers,"This book provides data engineers with a comprehensive guide to using Google Cloud Platform for data processing, storage, and analysis.",Mobile Development,Webinar
100,Azure for Architects,"This book provides an overview of Microsoft Azure architecture, including designing and implementing solutions using Azure services.",Web Development,Webinar
101,An Introduction to Google Cloud SQL,"An introductory guide to Google Cloud SQL that covers its architecture, features, and how to get started with using it for building applications.",Security,Webinar
102,An overview of AWS SageMaker: Machine learning made easy,"A comprehensive guide to AWS SageMaker that covers how it simplifies the process of building, training, and deploying machine learning models in the cloud.",AI,Course
103,An Overview of Google Cloud CDN,"An overview of Google Cloud CDN, its benefits, and how to get started with using it for delivering content to users across the globe.",AI,Reference
104,An Overview of Google Cloud Functions,"A beginner-friendly introduction to Google Cloud Functions that covers its features, benefits, and how to use it for building serverless applications.",Data Science,Webinar
105,An Overview of Google Cloud Platform's Security,"An overview of the security features provided by Google Cloud Platform, including identity and access management, data protection, and network security.",AI,Reference
106,An Overview of Google Cloud Spanner,"An introduction to Google Cloud Spanner, a fully managed relational database service that offers scalability, availability, and strong consistency.",AI,Reference
107,AWS CloudTrail: Tracking user activity and API usage,"A detailed guide to AWS CloudTrail, a service that enables you to monitor and log user activity and API usage across your AWS infrastructure.",Mobile Development,Documentation
108,AWS CloudWatch: Monitoring and logging for your applications,"An in-depth look at AWS CloudWatch, a monitoring and logging service that helps you monitor your applications, resources, and services in real-time.",Data Science,Course
109,AWS CodeCommit: A managed source control service,"A practical guide to AWS CodeCommit, a managed source control service that enables you to store, manage, and version your code securely in the cloud.",Mobile Development,Webinar
110,AWS Elastic Beanstalk: Deploy web applications at scale,"A hands-on tutorial on AWS Elastic Beanstalk, a fully managed service that makes it easy to deploy and run web applications at scale in the AWS Cloud.",Security,Tutorial
111,AWS IoT: Building internet of things applications,"A guide to building IoT applications using AWS IoT, a platform for connecting and managing IoT devices and data.",Big Data,Guide
112,AWS Lambda vs EC2: Choosing the right compute service,"A comparison of AWS Lambda, a serverless compute service, and Amazon EC2, a traditional compute service, to help users choose the right service for their application.",Security,Tutorial
113,Azure Active Directory,A cloud-based identity and access management service from Microsoft Azure that provides single sign-on and multi-factor authentication for applications and resources.,Big Data,Course
114,Azure Active Directory for Identity and Access Management,A guide to using Azure Active Directory for identity and access management in cloud-based applications and services.,Mobile Development,Guide
115,Azure API Management,"A platform for building, publishing, and managing APIs with security, scalability, and analytics features.",Security,Course
116,Azure Arc for Hybrid and Multi-Cloud Management,"A service that enables management and governance of resources across on-premises, multi-cloud, and edge environments from a single control plane.",Data Science,Reference
117,Azure Backup for Cloud Data Protection,"A service that provides backup and recovery for Azure virtual machines, on-premises machines, and Azure file shares.",Cloud,Guide
118,Azure Batch for High-performance Computing,A service that enables batch processing and high-performance computing for large-scale parallel and compute-intensive workloads.,Mobile Development,Reference
119,Azure Cognitive Services for AI Applications,"A suite of pre-built APIs and SDKs for building intelligent applications that can see, hear, speak, and understand natural language.",Big Data,Tutorial
120,Azure Container Instances for Container Deployment,A service that provides a quick and easy way to run containers in Azure with no infrastructure to manage.,Web Development,Tutorial
121,Azure Cosmos DB for Globally Distributed Applications,Learn how to use Azure Cosmos DB to build globally distributed applications that can provide low latency and high throughput to users worldwide.,Big Data,Guide
122,Azure Cosmos DB for NoSQL Data,"Discover how to use Azure Cosmos DB, a fully managed NoSQL database service, to store and query data at scale with low latency and high availability.",Web Development,Guide
123,Azure Data Factory for Data Integration and ETL,"Explore how to use Azure Data Factory, a fully managed, cloud-based data integration service, to orchestrate and automate data movement and transformation in the cloud.",AI,Webinar
124,Azure Data Lake Storage for Big Data Analytics,Learn how to use Azure Data Lake Storage to store and analyze large amounts of data with low latency and high performance.,Security,Course
125,Azure DevOps for CI/CD,Discover how to use Azure DevOps to implement continuous integration and delivery in your applications.,Web Development,Webinar
126,Azure DevOps for CI/CD Pipeline,Explore how to use Azure DevOps to create and manage continuous integration and delivery pipelines in your applications.,Big Data,Course
127,Azure DevOps for Continuous Integration and Deployment,Learn how to use Azure DevOps to implement continuous integration and deployment (CI/CD) in your applications.,AI,Webinar
128,Azure Event Grid for Event-driven Architecture,Discover how to use Azure Event Grid to build event-driven architectures and create custom event handlers for your applications.,Cloud,Reference
129,Azure ExpressRoute for Dedicated Network Connection,"Learn how to use Azure ExpressRoute to create a dedicated, private connection between your on-premises infrastructure and Azure.",Data Science,Guide
130,Azure Firewall for Network Security,Explore how to use Azure Firewall to protect your applications and data from threats by filtering network traffic and applying security policies.,Data Science,Tutorial
131,Azure Front Door for Web Applications,A cloud-based service that optimizes web app performance and global routing for faster and secure user experience.,Data Science,Course
132,Azure Functions for Serverless Computing,A serverless compute service that allows running code on-demand without worrying about infrastructure.,Web Development,Course
133,Azure IoT Hub for Internet of Things Applications,"A scalable cloud-based service that connects, monitors, and manages Internet of Things (IoT) devices securely.",Cloud,Tutorial
134,Azure IoT Hub for IoT Solutions,Azure IoT Hub provides tools to build scalable and secure IoT solutions with real-time analytics and monitoring.,Web Development,Webinar
135,Azure Kubernetes Service for Container Orchestration,"A fully managed container orchestration service that simplifies the deployment, scaling, and management of containerized applications.",Security,Course
136,Azure Machine Learning for Predictive Analytics,"A cloud-based service for building, training, and deploying machine learning models at scale.",Web Development,Reference
137,Azure Monitor for Cloud Monitoring,Azure Monitor is a platform that provides end-to-end monitoring solutions for your cloud resources and applications.,Cloud,Guide
138,Azure Security Best Practices,Azure Security Best Practices provides guidance and recommendations for securing your Azure resources and applications.,Cloud,Tutorial
139,Azure Security Center,A unified security management system that provides threat protection across all your Azure workloads.,Security,Guide
140,Azure Service Bus for Reliable Messaging,A cloud messaging service that facilitates communication between different applications and services securely and reliably.,Cloud,Course
141,Azure Site Recovery,Azure service for disaster recovery and business continuity to keep workloads and applications available,Big Data,Course
142,Azure SQL Database,Azure's fully managed relational cloud database service,Cloud,Tutorial
143,Azure Stack,A hybrid cloud computing solution that lets you use Azure services from your company's or service provider's datacenter,Data Science,Reference
144,Azure Storage,Azure's cloud storage service that provides data storage and backup solutions,Big Data,Documentation
145,Azure Stream Analytics,Real-time analytics and complex event processing over data streams in the cloud,Big Data,Tutorial
146,Azure Synapse Analytics,A cloud-based analytics service that can perform big data processing tasks,Security,Documentation
147,Azure Traffic Manager,A traffic routing solution to optimize and manage global traffic distribution,ML,Webinar
148,Azure Virtual Desktop,A cloud-based service for virtualizing Windows desktops and apps,ML,Documentation
149,Azure SQL Database for Cloud-Based Database Management,"A fully managed, scalable, and secure relational database for cloud-based applications",Cloud,Reference
150,Azure SQL Database for Data Management,A cloud-based database management system that provides built-in intelligence and robust security,Big Data,Webinar
151,Azure Virtual WAN for Secure and Optimized Connectivity,"This book is a guide to understanding and implementing Azure Virtual WAN for secure and optimized connectivity across your cloud infrastructure. It covers best practices for design, deployment, and management of Azure Virtual WAN.",ML,Documentation
152,Best Practices for Azure Security,"This book covers best practices for securing your Azure resources, including identity and access management, network security, and data protection. It also provides guidance on compliance and governance in the Azure environment.",ML,Webinar
153,Best Practices for Data Management on Google Cloud Platform,"This book covers best practices for data management on Google Cloud Platform, including data storage, processing, and analysis. It also covers security and compliance considerations for data management in the cloud.",Cloud,Documentation
154,Best practices for securing your cloud environment,"This book covers best practices for securing your cloud environment, including identity and access management, network security, data protection, and compliance. It also provides guidance on monitoring and incident response in the cloud.",ML,Reference
155,Big Data Processing with Google Cloud Platform,"This book is a guide to processing and analyzing big data with Google Cloud Platform, including tools like BigQuery, Dataflow, and Dataproc. It covers best practices for data processing, analysis, and visualization in the cloud.",Web Development,Documentation
156,Building a Cloud Center of Excellence: A Comprehensive Guide,"This book provides a comprehensive guide to building a Cloud Center of Excellence (CCOE) for managing cloud adoption in your organization. It covers best practices for governance, operations, and security in the cloud.",AI,Documentation
157,Building a cloud-native data warehouse,"This book is a guide to building a cloud-native data warehouse using modern cloud technologies like AWS, Azure, and Google Cloud Platform. It covers best practices for data modeling, ETL, and analytics in the cloud.",Security,Documentation
158,Building a resilient cloud architecture,"This book covers best practices for building a resilient cloud architecture that can withstand outages, disasters, and other disruptions. It covers topics like fault tolerance, disaster recovery, and high availability in the cloud.",AI,Tutorial
159,Building an effective disaster recovery plan for the cloud,"This book is a guide to building an effective disaster recovery plan for your cloud environment. It covers best practices for backup, replication, and failover in the cloud, as well as monitoring and testing your disaster recovery plan.",Cloud,Tutorial
160,Building and Managing Virtual Networks on Azure,"This book is a guide to building and managing virtual networks on Azure. It covers best practices for designing, deploying, and securing virtual networks, as well as managing network traffic and connectivity.",Data Science,Tutorial
161,Building Applications with Google Cloud Firestore,"This course teaches how to build scalable and secure cloud-based applications using Google Cloud Firestore, a NoSQL document database. Participants will learn how to use Firestore to store, retrieve, and query data, as well as how to integrate it with other Google Cloud services.",Security,Reference
162,Building data pipelines with AWS Glue and Amazon Athena,"This course covers how to build scalable and cost-effective data pipelines using AWS Glue, a fully managed ETL service, and Amazon Athena, a serverless query service. Participants will learn how to transform and process data in various formats and use Athena to query and analyze data stored in Amazon S3.",Cloud,Webinar
163,Building Microservices with Azure Service Fabric,"This course teaches how to design, develop, and deploy microservices-based applications using Azure Service Fabric, a distributed systems platform. Participants will learn how to build and manage microservices, use Service Fabric to manage and deploy them, and integrate them with other Azure services.",Big Data,Course
164,Building real-time applications with AWS AppSync,"This course teaches how to build real-time applications using AWS AppSync, a fully managed GraphQL service. Participants will learn how to create and deploy GraphQL APIs, use real-time data synchronization, and integrate with other AWS services such as DynamoDB, Lambda, and Elasticsearch.",Data Science,Documentation
165,Building scalable cloud applications with microservices,"This course covers how to design, develop, and deploy scalable and resilient cloud-based applications using microservices architecture. Participants will learn how to build and manage microservices, use container orchestration platforms such as Kubernetes and Docker Swarm, and integrate with cloud-native services such as AWS Lambda and Azure Functions.",AI,Documentation
166,Building Serverless Applications on Azure,"This course teaches how to build and deploy serverless applications using Azure Functions, Logic Apps, and Event Grid. Participants will learn how to design, develop, and deploy event-driven applications, use serverless compute and storage, and integrate with other Azure services.",Cloud,Reference
167,Building serverless applications with AWS Lambda,"This course covers how to build and deploy serverless applications using AWS Lambda, a compute service that runs code in response to events. Participants will learn how to create and deploy Lambda functions, use serverless data storage and messaging services, and integrate with other AWS services.",Big Data,Documentation
168,Cloud AI: Harnessing the Power of Artificial Intelligence in the Cloud,"This course covers the basics of artificial intelligence and machine learning, and how to leverage cloud-based AI services such as AWS AI, Google Cloud AI, and Azure AI to build intelligent applications. Participants will learn how to use AI services for image and speech recognition, natural language processing, and predictive analytics.",Security,Tutorial
169,Cloud Analytics: Driving Business Insights with Data,"This course teaches how to use cloud-based analytics services such as AWS Athena, Google BigQuery, and Azure Synapse Analytics to process and analyze large amounts of data. Participants will learn how to create data pipelines, perform data transformations and aggregations, and visualize data using BI tools.",Security,Course
170,Cloud Automation: Streamlining Your Business Processes,"This course covers how to automate and streamline business processes using cloud-based automation services such as AWS Step Functions, Google Cloud Workflows, and Azure Logic Apps. Participants will learn how to create and manage workflows, integrate with other cloud services, and monitor and troubleshoot automation processes.",Mobile Development,Guide
171,Cloud Automation: Streamlining Your IT Operations,"This course provides insights on automating IT operations in the cloud environment for improved efficiency and scalability using tools like Ansible, Terraform, and CloudFormation.",Big Data,Documentation
172,Cloud Backup and Disaster Recovery: Planning for the Unexpected,"This course helps plan for unexpected events in the cloud environment by implementing a robust backup and disaster recovery strategy using AWS Backup, Azure Site Recovery, and Google Cloud Storage.",Web Development,Tutorial
173,Cloud Compliance: Navigating Regulatory Requirements in the Cloud,This course provides an understanding of regulatory requirements and compliance standards for the cloud environment and how to ensure compliance using tools like Azure Policy and AWS Config.,ML,Guide
174,Cloud Computing 101: An Introduction,"This course is an introduction to cloud computing, including basic concepts, types of cloud services, and the benefits of cloud computing.",Data Science,Course
175,Cloud Computing and Big Data: A Perfect Match?,"This course explores how cloud computing and big data are a perfect match, providing an overview of big data technologies and how they can be implemented in cloud environments using AWS EMR, Google BigQuery, and Azure HDInsight.",Big Data,Guide
176,Cloud Computing and Cybersecurity: Protecting Your Business,"This course provides insights on securing cloud environments and protecting businesses from cyber threats using tools like AWS Security Hub, Azure Security Center, and Google Cloud Armor.",Mobile Development,Tutorial
177,Cloud Computing and Data Privacy: What You Need to Know,"This course covers data privacy regulations and how they affect cloud computing, including GDPR, HIPAA, and CCPA, as well as best practices for data privacy in the cloud using tools like AWS KMS, Azure Key Vault, and Google Cloud HSM.",ML,Webinar
178,Cloud Computing and E-Commerce: Opportunities and Benefits,"This course explores the opportunities and benefits of cloud computing in e-commerce, including increased scalability, reduced costs, and improved customer experience using tools like AWS Elastic Beanstalk, Azure App Service, and Google Cloud Run.",ML,Webinar
179,Cloud Computing and Healthcare: Opportunities and Challenges,"This course provides insights on the opportunities and challenges of cloud computing in healthcare, including regulatory compliance, data security, and HIPAA compliance, as well as how to leverage cloud computing tools like AWS Comprehend Medical, Azure API for FHIR, and Google Healthcare API.",Cloud,Guide
180,Cloud Computing and the Financial Services Industry,"This course explores the use of cloud computing in the financial services industry, including compliance requirements, risk management, and fraud detection, as well as how to implement cloud computing tools like AWS Personalize, Azure Machine Learning, and Google Cloud AI Platform for improved customer experience and operational efficienc",ML,Reference
181,Cloud Computing and the Future of Artificial Intelligence,This article explores the role of cloud computing in enabling and accelerating the development of AI.,Web Development,Guide
